t_ms,V_mV,n,h,alpha,volL_L,PAO2_mmHg,PaO2_mmHg,gtonic_nS,SaO2_pct
7.51064893e+03,6.19425927e+00,7.21535208e-01,7.86675950e-01,1.25804484e-03,2.00930896e+00,7.83155863e+01,7.69011639e+01,1.94547650e-01,9.37676193e+01
7.51065330e+03,6.18457721e+00,7.26445804e-01,7.86660210e-01,1.26109014e-03,2.00931106e+00,7.83156487e+01,7.69011558e+01,1.94547702e-01,9.37676177e+01
7.51065768e+03,6.17210195e+00,7.31263132e-01,7.86644484e-01,1.26413338e-03,2.00931317e+00,7.83157112e+01,7.69011477e+01,1.94547754e-01,9.37676162e+01
7.51066206e+03,6.15686541e+00,7.35987455e-01,7.86628776e-01,1.26717404e-03,2.00931528e+00,7.83157739e+01,7.69011396e+01,1.94547806e-01,9.37676146e+01
7.51066643e+03,6.13890060e+00,7.40619133e-01,7.86613091e-01,1.27021161e-03,2.00931740e+00,7.83158369e+01,7.69011315e+01,1.94547858e-01,9.37676131e+01
7.51067081e+03,6.11824151e+00,7.45158623e-01,7.86597431e-01,1.27324558e-03,2.00931952e+00,7.83159000e+01,7.69011234e+01,1.94547910e-01,9.37676116e+01
7.51067519e+03,6.09492310e+00,7.49606473e-01,7.86581800e-01,1.27627546e-03,2.00932165e+00,7.83159633e+01,7.69011153e+01,1.94547962e-01,9.37676100e+01
7.51068051e+03,6.06298289e+00,7.54900825e-01,7.86562806e-01,1.27995940e-03,2.00932425e+00,7.83160406e+01,7.69011054e+01,1.94548026e-01,9.37676081e+01
7.51068584e+03,6.02721756e+00,7.60061489e-01,7.86543867e-01,1.28363564e-03,2.00932686e+00,7.83161183e+01,7.69010956e+01,1.94548089e-01,9.37676063e+01
7.51069117e+03,5.98769518e+00,7.65089931e-01,7.86524987e-01,1.28730329e-03,2.00932948e+00,7.83161962e+01,7.69010857e+01,1.94548153e-01,9.37676044e+01
7.51069650e+03,5.94448538e+00,7.69987770e-01,7.86506173e-01,1.29096147e-03,2.00933210e+00,7.83162743e+01,7.69010758e+01,1.94548216e-01,9.37676025e+01
7.51070183e+03,5.89765909e+00,7.74756759e-01,7.86487430e-01,1.29460932e-03,2.00933473e+00,7.83163528e+01,7.69010660e+01,1.94548279e-01,9.37676007e+01
7.51070716e+03,5.84728847e+00,7.79398776e-01,7.86468763e-01,1.29824599e-03,2.00933737e+00,7.83164315e+01,7.69010561e+01,1.94548343e-01,9.37675988e+01
7.51071249e+03,5.79344667e+00,7.83915810e-01,7.86450177e-01,1.30187062e-03,2.00934002e+00,7.83165105e+01,7.69010463e+01,1.94548406e-01,9.37675969e+01
7.51071782e+03,5.73620772e+00,7.88309946e-01,7.86431677e-01,1.30548237e-03,2.00934268e+00,7.83165898e+01,7.69010364e+01,1.94548470e-01,9.37675950e+01
7.51072426e+03,5.66267379e+00,7.93454960e-01,7.86409462e-01,1.30982503e-03,2.00934589e+00,7.83166858e+01,7.69010245e+01,1.94548546e-01,9.37675928e+01
7.51073069e+03,5.58442863e+00,7.98427941e-01,7.86387387e-01,1.31414625e-03,2.00934912e+00,7.83167823e+01,7.69010126e+01,1.94548623e-01,9.37675905e+01
7.51073713e+03,5.50160562e+00,8.03232989e-01,7.86365461e-01,1.31844459e-03,2.00935236e+00,7.83168792e+01,7.69010007e+01,1.94548699e-01,9.37675882e+01
7.51074588e+03,5.38185342e+00,8.09506270e-01,7.86335890e-01,1.32425143e-03,2.00935678e+00,7.83170115e+01,7.69009845e+01,1.94548803e-01,9.37675852e+01
7.51075549e+03,5.24129001e+00,8.16058696e-01,7.86303770e-01,1.33057176e-03,2.00936166e+00,7.83171577e+01,7.69009667e+01,1.94548918e-01,9.37675818e+01
7.51076204e+03,5.14039415e+00,8.20325093e-01,7.86282127e-01,1.33483844e-03,2.00936499e+00,7.83172577e+01,7.69009546e+01,1.94548995e-01,9.37675795e+01
7.51076858e+03,5.03543839e+00,8.24439673e-01,7.86260668e-01,1.33907456e-03,2.00936834e+00,7.83173580e+01,7.69009425e+01,1.94549073e-01,9.37675772e+01
7.51077512e+03,4.92656072e+00,8.28407057e-01,7.86239401e-01,1.34327874e-03,2.00937169e+00,7.83174588e+01,7.69009304e+01,1.94549151e-01,9.37675749e+01
7.51078166e+03,4.81389773e+00,8.32231849e-01,7.86218329e-01,1.34744960e-03,2.00937506e+00,7.83175599e+01,7.69009183e+01,1.94549229e-01,9.37675726e+01
7.51078821e+03,4.69758435e+00,8.35918621e-01,7.86197458e-01,1.35158583e-03,2.00937844e+00,7.83176615e+01,7.69009062e+01,1.94549306e-01,9.37675703e+01
7.51079475e+03,4.57775368e+00,8.39471903e-01,7.86176792e-01,1.35568611e-03,2.00938183e+00,7.83177634e+01,7.69008941e+01,1.94549384e-01,9.37675680e+01
7.51080129e+03,4.45453675e+00,8.42896162e-01,7.86156335e-01,1.35974917e-03,2.00938523e+00,7.83178656e+01,7.69008820e+01,1.94549462e-01,9.37675657e+01
7.51080783e+03,4.32806240e+00,8.46195800e-01,7.86136090e-01,1.36377377e-03,2.00938864e+00,7.83179683e+01,7.69008699e+01,1.94549539e-01,9.37675634e+01
7.51081438e+03,4.19845706e+00,8.49375141e-01,7.86116061e-01,1.36775867e-03,2.00939206e+00,7.83180713e+01,7.69008578e+01,1.94549617e-01,9.37675611e+01
7.51082092e+03,4.06584472e+00,8.52438421e-01,7.86096250e-01,1.37170271e-03,2.00939549e+00,7.83181747e+01,7.69008458e+01,1.94549695e-01,9.37675588e+01
7.51082746e+03,3.93034674e+00,8.55389784e-01,7.86076659e-01,1.37560472e-03,2.00939893e+00,7.83182785e+01,7.69008337e+01,1.94549773e-01,9.37675565e+01
7.51083400e+03,3.79208180e+00,8.58233278e-01,7.86057291e-01,1.37946360e-03,2.00940238e+00,7.83183826e+01,7.69008216e+01,1.94549850e-01,9.37675542e+01
7.51083939e+03,3.67616404e+00,8.60497861e-01,7.86041502e-01,1.38260988e-03,2.00940523e+00,7.83184686e+01,7.69008116e+01,1.94549914e-01,9.37675523e+01
7.51084479e+03,3.55851004e+00,8.62694047e-01,7.86025866e-01,1.38572557e-03,2.00940809e+00,7.83185549e+01,7.69008017e+01,1.94549978e-01,9.37675504e+01
7.51085018e+03,3.43918188e+00,8.64823940e-01,7.86010384e-01,1.38881009e-03,2.00941096e+00,7.83186414e+01,7.69007917e+01,1.94550042e-01,9.37675485e+01
7.51085557e+03,3.31824031e+00,8.66889590e-01,7.85995056e-01,1.39186292e-03,2.00941383e+00,7.83187281e+01,7.69007818e+01,1.94550106e-01,9.37675467e+01
7.51086096e+03,3.19574475e+00,8.68892999e-01,7.85979884e-01,1.39488352e-03,2.00941670e+00,7.83188151e+01,7.69007718e+01,1.94550170e-01,9.37675448e+01
7.51086635e+03,3.07175329e+00,8.70836116e-01,7.85964867e-01,1.39787139e-03,2.00941959e+00,7.83189023e+01,7.69007618e+01,1.94550234e-01,9.37675429e+01
7.51087174e+03,2.94632267e+00,8.72720840e-01,7.85950005e-01,1.40082605e-03,2.00942248e+00,7.83189897e+01,7.69007519e+01,1.94550298e-01,9.37675410e+01
7.51087713e+03,2.81950828e+00,8.74549017e-01,7.85935299e-01,1.40374705e-03,2.00942538e+00,7.83190774e+01,7.69007419e+01,1.94550362e-01,9.37675391e+01
7.51088252e+03,2.69136420e+00,8.76322442e-01,7.85920749e-01,1.40663394e-03,2.00942828e+00,7.83191653e+01,7.69007320e+01,1.94550426e-01,9.37675372e+01
7.51088791e+03,2.56194317e+00,8.78042860e-01,7.85906355e-01,1.40948630e-03,2.00943119e+00,7.83192534e+01,7.69007220e+01,1.94550490e-01,9.37675353e+01
7.51089330e+03,2.43129663e+00,8.79711964e-01,7.85892115e-01,1.41230376e-03,2.00943410e+00,7.83193417e+01,7.69007121e+01,1.94550554e-01,9.37675334e+01
7.51089869e+03,2.29947468e+00,8.81331400e-01,7.85878031e-01,1.41508594e-03,2.00943702e+00,7.83194302e+01,7.69007021e+01,1.94550618e-01,9.37675315e+01
7.51090408e+03,2.16652617e+00,8.82902763e-01,7.85864102e-01,1.41783249e-03,2.00943995e+00,7.83195189e+01,7.69006922e+01,1.94550682e-01,9.37675296e+01
7.51090947e+03,2.03249866e+00,8.84427598e-01,7.85850327e-01,1.42054311e-03,2.00944288e+00,7.83196078e+01,7.69006822e+01,1.94550746e-01,9.37675277e+01
7.51091486e+03,1.89743844e+00,8.85907406e-01,7.85836706e-01,1.42321749e-03,2.00944582e+00,7.83196970e+01,7.69006723e+01,1.94550810e-01,9.37675259e+01
7.51092025e+03,1.76139059e+00,8.87343639e-01,7.85823239e-01,1.42585537e-03,2.00944877e+00,7.83197863e+01,7.69006623e+01,1.94550874e-01,9.37675240e+01
7.51092564e+03,1.62439895e+00,8.88737704e-01,7.85809923e-01,1.42845651e-03,2.00945172e+00,7.83198758e+01,7.69006524e+01,1.94550938e-01,9.37675221e+01
7.51093103e+03,1.48650616e+00,8.90090963e-01,7.85796760e-01,1.43102069e-03,2.00945467e+00,7.83199655e+01,7.69006424e+01,1.94551002e-01,9.37675202e+01
7.51093643e+03,1.34775369e+00,8.91404733e-01,7.85783748e-01,1.43354771e-03,2.00945763e+00,7.83200555e+01,7.69006325e+01,1.94551066e-01,9.37675183e+01
7.51094182e+03,1.20818187e+00,8.92680291e-01,7.85770886e-01,1.43603743e-03,2.00946060e+00,7.83201456e+01,7.69006226e+01,1.94551130e-01,9.37675164e+01
7.51094721e+03,1.06782986e+00,8.93918871e-01,7.85758173e-01,1.43848969e-03,2.00946357e+00,7.83202359e+01,7.69006126e+01,1.94551193e-01,9.37675145e+01
7.51095260e+03,9.26735748e-01,8.95121665e-01,7.85745609e-01,1.44090438e-03,2.00946655e+00,7.83203263e+01,7.69006027e+01,1.94551257e-01,9.37675126e+01
7.51095799e+03,7.84936512e-01,8.96289828e-01,7.85733193e-01,1.44328142e-03,2.00946953e+00,7.83204170e+01,7.69005927e+01,1.94551321e-01,9.37675107e+01
7.51096338e+03,6.42468077e-01,8.97424475e-01,7.85720922e-01,1.44562075e-03,2.00947252e+00,7.83205078e+01,7.69005828e+01,1.94551385e-01,9.37675089e+01
7.51096748e+03,5.33690868e-01,8.98265629e-01,7.85711688e-01,1.44737460e-03,2.00947479e+00,7.83205770e+01,7.69005752e+01,1.94551434e-01,9.37675074e+01
7.51097158e+03,4.24561744e-01,8.99088482e-01,7.85702537e-01,1.44910661e-03,2.00947707e+00,7.83206463e+01,7.69005677e+01,1.94551482e-01,9.37675060e+01
7.51097568e+03,3.15095324e-01,8.99893483e-01,7.85693469e-01,1.45081678e-03,2.00947935e+00,7.83207157e+01,7.69005601e+01,1.94551531e-01,9.37675045e+01
7.51097978e+03,2.05305896e-01,9.00681066e-01,7.85684484e-01,1.45250513e-03,2.00948163e+00,7.83207852e+01,7.69005525e+01,1.94551580e-01,9.37675031e+01
7.51098388e+03,9.52074314e-02,9.01451659e-01,7.85675581e-01,1.45417168e-03,2.00948392e+00,7.83208548e+01,7.69005450e+01,1.94551628e-01,9.37675017e+01
7.51098798e+03,-1.51864178e-02,9.02205675e-01,7.85666759e-01,1.45581645e-03,2.00948621e+00,7.83209245e+01,7.69005374e+01,1.94551677e-01,9.37675002e+01
7.51099208e+03,-1.25862307e-01,9.02943517e-01,7.85658019e-01,1.45743948e-03,2.00948850e+00,7.83209943e+01,7.69005299e+01,1.94551725e-01,9.37674988e+01
7.51099618e+03,-2.36807195e-01,9.03665579e-01,7.85649359e-01,1.45904081e-03,2.00949079e+00,7.83210642e+01,7.69005223e+01,1.94551774e-01,9.37674974e+01
7.51100027e+03,-3.48008337e-01,9.04372244e-01,7.85640778e-01,1.46062051e-03,2.00949309e+00,7.83211341e+01,7.69005148e+01,1.94551822e-01,9.37674959e+01
7.51100437e+03,-4.59453283e-01,9.05063883e-01,7.85632277e-01,1.46217862e-03,2.00949539e+00,7.83212042e+01,7.69005072e+01,1.94551871e-01,9.37674945e+01
7.51100847e+03,-5.71129865e-01,9.05740860e-01,7.85623855e-01,1.46371521e-03,2.00949769e+00,7.83212743e+01,7.69004996e+01,1.94551920e-01,9.37674931e+01
7.51101257e+03,-6.83026198e-01,9.06403528e-01,7.85615511e-01,1.46523036e-03,2.00949999e+00,7.83213446e+01,7.69004921e+01,1.94551968e-01,9.37674916e+01
7.51101667e+03,-7.95130668e-01,9.07052230e-01,7.85607245e-01,1.46672416e-03,2.00950230e+00,7.83214149e+01,7.69004845e+01,1.94552017e-01,9.37674902e+01
7.51102077e+03,-9.07431933e-01,9.07687303e-01,7.85599056e-01,1.46819668e-03,2.00950461e+00,7.83214853e+01,7.69004770e+01,1.94552065e-01,9.37674888e+01
7.51102570e+03,-1.04261602e+00,9.08432828e-01,7.85589317e-01,1.46993805e-03,2.00950739e+00,7.83215700e+01,7.69004679e+01,1.94552124e-01,9.37674870e+01
7.51103063e+03,-1.17804953e+00,9.09159693e-01,7.85579687e-01,1.47164903e-03,2.00951017e+00,7.83216548e+01,7.69004588e+01,1.94552182e-01,9.37674853e+01
7.51103555e+03,-1.31371424e+00,9.09868432e-01,7.85570165e-01,1.47332981e-03,2.00951295e+00,7.83217398e+01,7.69004498e+01,1.94552240e-01,9.37674836e+01
7.51104048e+03,-1.44959247e+00,9.10559558e-01,7.85560751e-01,1.47498061e-03,2.00951574e+00,7.83218248e+01,7.69004407e+01,1.94552299e-01,9.37674819e+01
7.51104540e+03,-1.58566700e+00,9.11233570e-01,7.85551443e-01,1.47660163e-03,2.00951853e+00,7.83219100e+01,7.69004316e+01,1.94552357e-01,9.37674801e+01
7.51105033e+03,-1.72192112e+00,9.11890953e-01,7.85542241e-01,1.47819312e-03,2.00952133e+00,7.83219953e+01,7.69004225e+01,1.94552415e-01,9.37674784e+01
7.51105526e+03,-1.85833859e+00,9.12532173e-01,7.85533142e-01,1.47975532e-03,2.00952412e+00,7.83220806e+01,7.69004135e+01,1.94552474e-01,9.37674767e+01
7.51106018e+03,-1.99490362e+00,9.13157685e-01,7.85524146e-01,1.48128847e-03,2.00952692e+00,7.83221661e+01,7.69004044e+01,1.94552532e-01,9.37674750e+01
7.51106511e+03,-2.13160087e+00,9.13767925e-01,7.85515252e-01,1.48279286e-03,2.00952973e+00,7.83222517e+01,7.69003953e+01,1.94552590e-01,9.37674732e+01
7.51107003e+03,-2.26841545e+00,9.14363320e-01,7.85506460e-01,1.48426875e-03,2.00953253e+00,7.83223374e+01,7.69003863e+01,1.94552648e-01,9.37674715e+01
7.51107605e+03,-2.43559423e+00,9.15070725e-01,7.85495860e-01,1.48603248e-03,2.00953596e+00,7.83224422e+01,7.69003752e+01,1.94552720e-01,9.37674694e+01
7.51108206e+03,-2.60290083e+00,9.15757335e-01,7.85485406e-01,1.48775470e-03,2.00953939e+00,7.83225471e+01,7.69003641e+01,1.94552791e-01,9.37674673e+01
7.51108808e+03,-2.77031062e+00,9.16423845e-01,7.85475098e-01,1.48943595e-03,2.00954283e+00,7.83226521e+01,7.69003530e+01,1.94552862e-01,9.37674652e+01
7.51109409e+03,-2.93779983e+00,9.17070925e-01,7.85464933e-01,1.49107682e-03,2.00954627e+00,7.83227573e+01,7.69003420e+01,1.94552933e-01,9.37674631e+01
7.51110011e+03,-3.10534551e+00,9.17699216e-01,7.85454909e-01,1.49267789e-03,2.00954972e+00,7.83228626e+01,7.69003309e+01,1.94553004e-01,9.37674610e+01
7.51110612e+03,-3.27292555e+00,9.18309337e-01,7.85445024e-01,1.49423977e-03,2.00955317e+00,7.83229681e+01,7.69003198e+01,1.94553075e-01,9.37674589e+01
7.51111213e+03,-3.44051858e+00,9.18901883e-01,7.85435276e-01,1.49576307e-03,2.00955662e+00,7.83230737e+01,7.69003088e+01,1.94553147e-01,9.37674568e+01
7.51111815e+03,-3.60810400e+00,9.19477426e-01,7.85425664e-01,1.49724842e-03,2.00956008e+00,7.83231794e+01,7.69002977e+01,1.94553218e-01,9.37674547e+01
7.51112416e+03,-3.77566195e+00,9.20036517e-01,7.85416185e-01,1.49869645e-03,2.00956354e+00,7.83232852e+01,7.69002866e+01,1.94553289e-01,9.37674526e+01
7.51113018e+03,-3.94317323e+00,9.20579686e-01,7.85406837e-01,1.50010782e-03,2.00956700e+00,7.83233912e+01,7.69002756e+01,1.94553360e-01,9.37674505e+01
7.51113742e+03,-4.14480522e+00,9.21213367e-01,7.85395753e-01,1.50175968e-03,2.00957118e+00,7.83235189e+01,7.69002622e+01,1.94553446e-01,9.37674480e+01
7.51114466e+03,-4.34631175e+00,9.21825550e-01,7.85384854e-01,1.50336047e-03,2.00957536e+00,7.83236468e+01,7.69002489e+01,1.94553531e-01,9.37674454e+01
7.51115191e+03,-4.54766313e+00,9.22417049e-01,7.85374136e-01,1.50491135e-03,2.00957954e+00,7.83237749e+01,7.69002356e+01,1.94553617e-01,9.37674429e+01
7.51115915e+03,-4.74883093e+00,9.22988641e-01,7.85363597e-01,1.50641349e-03,2.00958373e+00,7.83239031e+01,7.69002223e+01,1.94553702e-01,9.37674404e+01
7.51116639e+03,-4.94978797e+00,9.23541071e-01,7.85353233e-01,1.50786807e-03,2.00958792e+00,7.83240314e+01,7.69002090e+01,1.94553788e-01,9.37674378e+01
7.51117363e+03,-5.15050822e+00,9.24075049e-01,7.85343041e-01,1.50927626e-03,2.00959212e+00,7.83241599e+01,7.69001956e+01,1.94553874e-01,9.37674353e+01
7.51118088e+03,-5.35096681e+00,9.24591251e-01,7.85333018e-01,1.51063924e-03,2.00959632e+00,7.83242886e+01,7.69001823e+01,1.94553959e-01,9.37674328e+01
7.51118812e+03,-5.55113993e+00,9.25090328e-01,7.85323162e-01,1.51195817e-03,2.00960052e+00,7.83244173e+01,7.69001690e+01,1.94554045e-01,9.37674302e+01
7.51119536e+03,-5.75100484e+00,9.25572899e-01,7.85313469e-01,1.51323423e-03,2.00960473e+00,7.83245462e+01,7.69001557e+01,1.94554130e-01,9.37674277e+01
7.51120260e+03,-5.95053978e+00,9.26039555e-01,7.85303935e-01,1.51446856e-03,2.00960894e+00,7.83246752e+01,7.69001424e+01,1.94554216e-01,9.37674252e+01
7.51121132e+03,-6.19011120e+00,9.26580648e-01,7.85292675e-01,1.51589977e-03,2.00961402e+00,7.83248306e+01,7.69001264e+01,1.94554319e-01,9.37674221e+01
7.51122003e+03,-6.42914065e+00,9.27100467e-01,7.85281638e-01,1.51727424e-03,2.00961909e+00,7.83249861e+01,7.69001104e+01,1.94554422e-01,9.37674191e+01
7.51122874e+03,-6.66759556e+00,9.27599900e-01,7.85270818e-01,1.51859391e-03,2.00962417e+00,7.83251418e+01,7.69000944e+01,1.94554525e-01,9.37674161e+01
7.51123746e+03,-6.90544512e+00,9.28079790e-01,7.85260211e-01,1.51986069e-03,2.00962926e+00,7.83252977e+01,7.69000784e+01,1.94554627e-01,9.37674130e+01
7.51124617e+03,-7.14266021e+00,9.28540937e-01,7.85249812e-01,1.52107645e-03,2.00963435e+00,7.83254537e+01,7.69000624e+01,1.94554730e-01,9.37674100e+01
7.51125488e+03,-7.37921330e+00,9.28984098e-01,7.85239617e-01,1.52224306e-03,2.00963944e+00,7.83256098e+01,7.69000464e+01,1.94554833e-01,9.37674069e+01
7.51126359e+03,-7.61507841e+00,9.29409991e-01,7.85229620e-01,1.52336229e-03,2.00964454e+00,7.83257661e+01,7.69000304e+01,1.94554936e-01,9.37674039e+01
7.51127231e+03,-7.85023099e+00,9.29819297e-01,7.85219819e-01,1.52443592e-03,2.00964964e+00,7.83259224e+01,7.69000144e+01,1.94555039e-01,9.37674009e+01
7.51128102e+03,-8.08464793e+00,9.30212664e-01,7.85210207e-01,1.52546565e-03,2.00965474e+00,7.83260790e+01,7.68999984e+01,1.94555141e-01,9.37673978e+01
7.51128973e+03,-8.31830740e+00,9.30590705e-01,7.85200781e-01,1.52645317e-03,2.00965985e+00,7.83262356e+01,7.68999824e+01,1.94555244e-01,9.37673948e+01
7.51130026e+03,-8.59969185e+00,9.31028015e-01,7.85189630e-01,1.52759275e-03,2.00966603e+00,7.83264251e+01,7.68999631e+01,1.94555368e-01,9.37673911e+01
7.51131030e+03,-8.86673838e+00,9.31425578e-01,7.85179245e-01,1.52862603e-03,2.00967192e+00,7.83266057e+01,7.68999447e+01,1.94555487e-01,9.37673876e+01
7.51132033e+03,-9.13269481e+00,9.31805252e-01,7.85169088e-01,1.52961030e-03,2.00967781e+00,7.83267866e+01,7.68999263e+01,1.94555605e-01,9.37673841e+01
7.51133037e+03,-9.39753576e+00,9.32167780e-01,7.85159154e-01,1.53054780e-03,2.00968371e+00,7.83269675e+01,7.68999078e+01,1.94555723e-01,9.37673806e+01
7.51134041e+03,-9.66123773e+00,9.32513862e-01,7.85149436e-01,1.53144068e-03,2.00968962e+00,7.83271486e+01,7.68998894e+01,1.94555842e-01,9.37673771e+01
7.51135044e+03,-9.92377893e+00,9.32844160e-01,7.85139929e-01,1.53229102e-03,2.00969552e+00,7.83273298e+01,7.68998710e+01,1.94555960e-01,9.37673736e+01
7.51136048e+03,-1.01851392e+01,9.33159294e-01,7.85130628e-01,1.53310079e-03,2.00970143e+00,7.83275111e+01,7.68998526e+01,1.94556078e-01,9.37673701e+01
7.51137254e+03,-1.04976857e+01,9.33518823e-01,7.85119714e-01,1.53402311e-03,2.00970854e+00,7.83277291e+01,7.68998305e+01,1.94556220e-01,9.37673659e+01
7.51138460e+03,-1.08084700e+01,9.33858246e-01,7.85109079e-01,1.53489275e-03,2.00971565e+00,7.83279473e+01,7.68998084e+01,1.94556362e-01,9.37673617e+01
7.51139666e+03,-1.11174656e+01,9.34178451e-01,7.85098716e-01,1.53571272e-03,2.00972276e+00,7.83281656e+01,7.68997863e+01,1.94556505e-01,9.37673575e+01
7.51140872e+03,-1.14246490e+01,9.34480264e-01,7.85088617e-01,1.53648586e-03,2.00972988e+00,7.83283840e+01,7.68997642e+01,1.94556647e-01,9.37673533e+01
7.51142078e+03,-1.17299989e+01,9.34764455e-01,7.85078772e-01,1.53721488e-03,2.00973700e+00,7.83286026e+01,7.68997421e+01,1.94556789e-01,9.37673491e+01
7.51143285e+03,-1.20334968e+01,9.35031742e-01,7.85069174e-01,1.53790232e-03,2.00974413e+00,7.83288212e+01,7.68997200e+01,1.94556931e-01,9.37673449e+01
7.51144491e+03,-1.23351263e+01,9.35282789e-01,7.85059816e-01,1.53855060e-03,2.00975125e+00,7.83290399e+01,7.68996980e+01,1.94557072e-01,9.37673407e+01
7.51145697e+03,-1.26348734e+01,9.35518217e-01,7.85050690e-01,1.53916198e-03,2.00975838e+00,7.83292588e+01,7.68996759e+01,1.94557214e-01,9.37673365e+01
7.51146903e+03,-1.29327261e+01,9.35738604e-01,7.85041788e-01,1.53973861e-03,2.00976552e+00,7.83294777e+01,7.68996538e+01,1.94557356e-01,9.37673324e+01
7.51148109e+03,-1.32286744e+01,9.35944485e-01,7.85033105e-01,1.54028253e-03,2.00977265e+00,7.83296967e+01,7.68996317e+01,1.94557498e-01,9.37673282e+01
7.51149580e+03,-1.35869191e+01,9.36176598e-01,7.85022803e-01,1.54090419e-03,2.00978136e+00,7.83299638e+01,7.68996048e+01,1.94557671e-01,9.37673230e+01
7.51151050e+03,-1.39423097e+01,9.36388716e-01,7.85012803e-01,1.54148329e-03,2.00979006e+00,7.83302311e+01,7.68995779e+01,1.94557844e-01,9.37673179e+01
7.51152521e+03,-1.42948388e+01,9.36581598e-01,7.85003095e-01,1.54202282e-03,2.00979877e+00,7.83304984e+01,7.68995510e+01,1.94558017e-01,9.37673128e+01
7.51153992e+03,-1.46445024e+01,9.36755934e-01,7.84993667e-01,1.54252558e-03,2.00980748e+00,7.83307658e+01,7.68995241e+01,1.94558190e-01,9.37673077e+01
7.51155462e+03,-1.49912999e+01,9.36912352e-01,7.84984510e-01,1.54299417e-03,2.00981620e+00,7.83310333e+01,7.68994973e+01,1.94558363e-01,9.37673026e+01
7.51156933e+03,-1.53352339e+01,9.37051422e-01,7.84975613e-01,1.54343099e-03,2.00982491e+00,7.83313008e+01,7.68994704e+01,1.94558535e-01,9.37672975e+01
7.51158404e+03,-1.56763097e+01,9.37173659e-01,7.84966967e-01,1.54383826e-03,2.00983363e+00,7.83315684e+01,7.68994435e+01,1.94558708e-01,9.37672924e+01
7.51159874e+03,-1.60145355e+01,9.37279529e-01,7.84958564e-01,1.54421807e-03,2.00984235e+00,7.83318361e+01,7.68994167e+01,1.94558881e-01,9.37672873e+01
7.51161345e+03,-1.63499222e+01,9.37369450e-01,7.84950393e-01,1.54457232e-03,2.00985108e+00,7.83321039e+01,7.68993898e+01,1.94559053e-01,9.37672822e+01
7.51162815e+03,-1.66824830e+01,9.37443797e-01,7.84942447e-01,1.54490280e-03,2.00985980e+00,7.83323716e+01,7.68993630e+01,1.94559226e-01,9.37672771e+01
7.51164605e+03,-1.70833758e+01,9.37513741e-01,7.84933071e-01,1.54527524e-03,2.00987042e+00,7.83326976e+01,7.68993303e+01,1.94559436e-01,9.37672709e+01
7.51166394e+03,-1.74801403e+01,9.37561642e-01,7.84924002e-01,1.54561764e-03,2.00988104e+00,7.83330235e+01,7.68992976e+01,1.94559646e-01,9.37672647e+01
7.51168184e+03,-1.78728138e+01,9.37587948e-01,7.84915227e-01,1.54593248e-03,2.00989166e+00,7.83333496e+01,7.68992650e+01,1.94559856e-01,9.37672585e+01
7.51169974e+03,-1.82614379e+01,9.37593037e-01,7.84906735e-01,1.54622203e-03,2.00990229e+00,7.83336756e+01,7.68992323e+01,1.94560065e-01,9.37672523e+01
7.51171763e+03,-1.86460583e+01,9.37577219e-01,7.84898512e-01,1.54648836e-03,2.00991291e+00,7.83340017e+01,7.68991997e+01,1.94560275e-01,9.37672461e+01
7.51173553e+03,-1.90267245e+01,9.37540744e-01,7.84890550e-01,1.54673335e-03,2.00992354e+00,7.83343279e+01,7.68991671e+01,1.94560485e-01,9.37672399e+01
7.51175342e+03,-1.94034894e+01,9.37483804e-01,7.84882835e-01,1.54695873e-03,2.00993417e+00,7.83346540e+01,7.68991345e+01,1.94560694e-01,9.37672337e+01
7.51177132e+03,-1.97764094e+01,9.37406535e-01,7.84875359e-01,1.54716607e-03,2.00994480e+00,7.83349802e+01,7.68991019e+01,1.94560904e-01,9.37672275e+01
7.51178921e+03,-2.01455438e+01,9.37309028e-01,7.84868112e-01,1.54735680e-03,2.00995543e+00,7.83353064e+01,7.68990693e+01,1.94561113e-01,9.37672213e+01
7.51181102e+03,-2.05903065e+01,9.37162914e-01,7.84859577e-01,1.54756865e-03,2.00996838e+00,7.83357039e+01,7.68990296e+01,1.94561369e-01,9.37672138e+01
7.51183200e+03,-2.10131951e+01,9.36993978e-01,7.84851658e-01,1.54775306e-03,2.00998085e+00,7.83360864e+01,7.68989914e+01,1.94561614e-01,9.37672065e+01
7.51185298e+03,-2.14311830e+01,9.36797162e-01,7.84844013e-01,1.54792015e-03,2.00999332e+00,7.83364690e+01,7.68989532e+01,1.94561860e-01,9.37671992e+01
7.51187397e+03,-2.18443836e+01,9.36572300e-01,7.84836630e-01,1.54807145e-03,2.01000579e+00,7.83368515e+01,7.68989150e+01,1.94562105e-01,9.37671920e+01
7.51189495e+03,-2.22529137e+01,9.36319159e-01,7.84829497e-01,1.54820837e-03,2.01001826e+00,7.83372340e+01,7.68988769e+01,1.94562350e-01,9.37671847e+01
7.51192140e+03,-2.27614111e+01,9.35959302e-01,7.84820845e-01,1.54836241e-03,2.01003397e+00,7.83377162e+01,7.68988288e+01,1.94562659e-01,9.37671756e+01
7.51194785e+03,-2.32629219e+01,9.35553287e-01,7.84812553e-01,1.54849783e-03,2.01004969e+00,7.83381984e+01,7.68987808e+01,1.94562968e-01,9.37671665e+01
