t_ms,V_mV,n,h,alpha,volL_L,PAO2_mmHg,PaO2_mmHg,gtonic_nS,SaO2_pct
1.73450333e+01,-5.95696842e+01,4.83922275e-04,7.45657032e-01,1.96914168e-04,2.05162039e+00,9.89224799e+01,9.77119283e+01,8.47682266e-02,9.64764086e+01
1.83576328e+01,-5.96490115e+01,4.74046717e-04,7.45676568e-01,1.96719379e-04,2.05156949e+00,9.89200261e+01,9.77072794e+01,8.47862554e-02,9.64760042e+01
1.93702324e+01,-5.97223166e+01,4.65103911e-04,7.45696408e-01,1.96524720e-04,2.05151865e+00,9.89175678e+01,9.77026374e+01,8.48042597e-02,9.64756004e+01
2.03828319e+01,-5.97900083e+01,4.56998921e-04,7.45716529e-01,1.96330195e-04,2.05146786e+00,9.89151051e+01,9.76980026e+01,8.48222396e-02,9.64751971e+01
2.12862102e+01,-5.98459775e+01,4.50406510e-04,7.45734699e-01,1.96156770e-04,2.05142258e+00,9.89129044e+01,9.76938736e+01,8.48382598e-02,9.64748378e+01
2.21895885e+01,-5.98980502e+01,4.44360224e-04,7.45753062e-01,1.95983461e-04,2.05137735e+00,9.89107001e+01,9.76897501e+01,8.48542608e-02,9.64744789e+01
2.30929667e+01,-5.99464751e+01,4.38811821e-04,7.45771605e-01,1.95810270e-04,2.05133215e+00,9.89084925e+01,9.76856322e+01,8.48702426e-02,9.64741205e+01
2.39963450e+01,-5.99914879e+01,4.33717755e-04,7.45790315e-01,1.95637200e-04,2.05128700e+00,9.89062813e+01,9.76815198e+01,8.48862055e-02,9.64737624e+01
2.48997233e+01,-6.00333113e+01,4.29038665e-04,7.45809179e-01,1.95464255e-04,2.05124188e+00,9.89040668e+01,9.76774128e+01,8.49021495e-02,9.64734048e+01
2.58031016e+01,-6.00721559e+01,4.24738931e-04,7.45828187e-01,1.95291435e-04,2.05119681e+00,9.89018488e+01,9.76733113e+01,8.49180747e-02,9.64730477e+01
2.67064798e+01,-6.01082199e+01,4.20786276e-04,7.45847330e-01,1.95118744e-04,2.05115177e+00,9.88996274e+01,9.76692153e+01,8.49339811e-02,9.64726909e+01
2.76098581e+01,-6.01416899e+01,4.17151418e-04,7.45866596e-01,1.94946184e-04,2.05110677e+00,9.88974027e+01,9.76651246e+01,8.49498689e-02,9.64723346e+01
2.85132364e+01,-6.01727415e+01,4.13807764e-04,7.45885977e-01,1.94773757e-04,2.05106181e+00,9.88951746e+01,9.76610393e+01,8.49657382e-02,9.64719787e+01
2.94166147e+01,-6.02015394e+01,4.10731134e-04,7.45905465e-01,1.94601463e-04,2.05101690e+00,9.88929431e+01,9.76569594e+01,8.49815889e-02,9.64716232e+01
3.03199929e+01,-6.02282380e+01,4.07899519e-04,7.45925052e-01,1.94429306e-04,2.05097202e+00,9.88907084e+01,9.76528847e+01,8.49974213e-02,9.64712681e+01
3.12233712e+01,-6.02529821e+01,4.05292864e-04,7.45944730e-01,1.94257285e-04,2.05092718e+00,9.88884703e+01,9.76488154e+01,8.50132355e-02,9.64709134e+01
3.21267495e+01,-6.02759072e+01,4.02892880e-04,7.45964492e-01,1.94085403e-04,2.05088237e+00,9.88862288e+01,9.76447514e+01,8.50290314e-02,9.64705592e+01
3.32115925e+01,-6.03012116e+01,4.00260477e-04,7.45988327e-01,1.93879179e-04,2.05082862e+00,9.88835329e+01,9.76398779e+01,8.50479764e-02,9.64701343e+01
3.42964356e+01,-6.03242787e+01,3.97875912e-04,7.46012265e-01,1.93673159e-04,2.05077493e+00,9.88808322e+01,9.76350120e+01,8.50668954e-02,9.64697100e+01
3.53812786e+01,-6.03452963e+01,3.95715652e-04,7.46036296e-01,1.93467343e-04,2.05072129e+00,9.88781268e+01,9.76301535e+01,8.50857886e-02,9.64692863e+01
3.64661217e+01,-6.03644369e+01,3.93758527e-04,7.46060411e-01,1.93261734e-04,2.05066771e+00,9.88754168e+01,9.76253026e+01,8.51046561e-02,9.64688632e+01
3.75509647e+01,-6.03818592e+01,3.91985475e-04,7.46084603e-01,1.93056333e-04,2.05061419e+00,9.88727021e+01,9.76204590e+01,8.51234980e-02,9.64684406e+01
3.86358077e+01,-6.03977090e+01,3.90379318e-04,7.46108864e-01,1.92851140e-04,2.05056072e+00,9.88699828e+01,9.76156227e+01,8.51423146e-02,9.64680186e+01
3.97206508e+01,-6.04121203e+01,3.88924556e-04,7.46133188e-01,1.92646158e-04,2.05050731e+00,9.88672590e+01,9.76107938e+01,8.51611060e-02,9.64675972e+01
4.08054938e+01,-6.04252159e+01,3.87607193e-04,7.46157568e-01,1.92441386e-04,2.05045395e+00,9.88645306e+01,9.76059722e+01,8.51798723e-02,9.64671764e+01
4.18903369e+01,-6.04371084e+01,3.86414582e-04,7.46182000e-01,1.92236826e-04,2.05040065e+00,9.88617976e+01,9.76011578e+01,8.51986136e-02,9.64667561e+01
4.29751799e+01,-6.04479011e+01,3.85335284e-04,7.46206478e-01,1.92032479e-04,2.05034740e+00,9.88590602e+01,9.75963507e+01,8.52173301e-02,9.64663364e+01
4.42896773e+01,-6.04596398e+01,3.84164566e-04,7.46236192e-01,1.91785159e-04,2.05028296e+00,9.88557372e+01,9.75905354e+01,8.52399758e-02,9.64658285e+01
4.56041746e+01,-6.04700551e+01,3.83128557e-04,7.46265960e-01,1.91538152e-04,2.05021860e+00,9.88524078e+01,9.75847306e+01,8.52625854e-02,9.64653215e+01
4.69186719e+01,-6.04792840e+01,3.82212601e-04,7.46295774e-01,1.91291460e-04,2.05015432e+00,9.88490718e+01,9.75789362e+01,8.52851594e-02,9.64648153e+01
4.82331692e+01,-6.04874499e+01,3.81403678e-04,7.46325629e-01,1.91045084e-04,2.05009012e+00,9.88457294e+01,9.75731521e+01,8.53076979e-02,9.64643099e+01
4.95476666e+01,-6.04946633e+01,3.80690212e-04,7.46355519e-01,1.90799024e-04,2.05002601e+00,9.88423806e+01,9.75673782e+01,8.53302012e-02,9.64638053e+01
